,Non_Res_Travel,Country,Year,Non-resident travellers (thousands)
442,ARRIVALS,EU27_2007,2014.0,0.0
443,ARRIVALS,EU27_2007,2015.0,0.0
444,ARRIVALS,EU27_2007,2016.0,0.0
445,ARRIVALS,EU27_2007,2017.0,0.0
446,ARRIVALS,EU27_2007,2018.0,0.0
447,ARRIVALS,EU27_2007,2019.0,0.0
448,ARRIVALS,EU27_2007,2020.0,0.0
449,ARRIVALS,EU27_2007,2021.0,0.0
450,ARRIVALS,EU27_2020,2012.0,0.0
451,ARRIVALS,EU27_2020,2013.0,0.0
452,ARRIVALS,EU27_2020,2014.0,0.0
453,ARRIVALS,EU27_2020,2015.0,0.0
454,ARRIVALS,EU27_2020,2016.0,0.0
455,ARRIVALS,EU27_2020,2017.0,0.0
456,ARRIVALS,EU27_2020,2018.0,0.0
457,ARRIVALS,EU27_2020,2019.0,0.0
458,ARRIVALS,EU27_2020,2020.0,2654.6
459,ARRIVALS,EU27_2020,2021.0,1356.3
460,ARRIVALS,CIS,2012.0,0.0
461,ARRIVALS,CIS,2013.0,0.0
462,ARRIVALS,CIS,2014.0,0.0
463,ARRIVALS,CIS,2015.0,0.0
464,ARRIVALS,CIS,2016.0,0.0
465,ARRIVALS,CIS,2017.0,0.0
466,ARRIVALS,CIS,2018.0,0.0
467,ARRIVALS,CIS,2019.0,0.0
468,ARRIVALS,CIS,2020.0,0.0
469,ARRIVALS,CIS,2021.0,0.0
470,ARRIVALS_OVERNIGHT,TOTAL,2012.0,1435.4
471,ARRIVALS_OVERNIGHT,TOTAL,2013.0,1536.0
472,ARRIVALS_OVERNIGHT,TOTAL,2014.0,1843.4
473,ARRIVALS_OVERNIGHT,TOTAL,2015.0,2023.5
474,ARRIVALS_OVERNIGHT,TOTAL,2016.0,1793.3
475,ARRIVALS_OVERNIGHT,TOTAL,2017.0,1949.5
476,ARRIVALS_OVERNIGHT,TOTAL,2018.0,1945.9
477,ARRIVALS_OVERNIGHT,TOTAL,2019.0,1934.8
478,ARRIVALS_OVERNIGHT,TOTAL,2020.0,635.6
479,ARRIVALS_OVERNIGHT,TOTAL,2021.0,477.6
480,ARRIVALS_OVERNIGHT,US,2012.0,0.0
481,ARRIVALS_OVERNIGHT,US,2013.0,0.0
482,ARRIVALS_OVERNIGHT,US,2014.0,0.0
483,ARRIVALS_OVERNIGHT,US,2015.0,0.0
484,ARRIVALS_OVERNIGHT,US,2016.0,0.0
